Sort algorithm time record(Millisecond):
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
17700,0.575445,0.671861,1.02428,0.734198,0.907635,1.06999,1.4116,1.38251
17800,0.584034,0.684882,1.02428,0.731982,0.914284,1.4792,1.43875,1.40163
17900,0.582926,0.685436,1.07581,0.74722,0.90625,1.00045,1.43238,1.41243
18000,0.582371,0.677679,1.02982,0.749436,13.793,1.14286,1.46895,1.40772
18100,0.590406,0.683497,1.05447,0.750544,0.880484,1.06833,1.44956,1.42324
18200,0.588467,0.684882,1.04007,0.760795,0.863583,1.06916,1.4695,1.47588
18300,0.595116,0.715081,1.05475,0.760518,0.879375,1.088,1.45981,1.46396
18400,0.597055,0.693471,1.0614,0.767445,0.855826,1.03148,1.49444,1.44318
18500,0.606475,0.702891,1.07969,0.770492,0.866077,1.06279,1.53212,1.47671
18600,0.607861,0.705384,1.09825,0.777419,0.89683,1.08273,1.48696,1.49389
18700,0.613956,0.706493,1.06556,0.781852,0.895445,1.10601,1.53101,1.48724
18800,0.621436,0.710648,1.09742,0.779358,0.846683,1.34982,1.49638,1.49084
18900,0.625869,0.722008,1.10933,0.794873,0.863029,1.13787,1.5263,1.52879
19000,0.628086,0.7378,1.09576,0.809834,0.885748,1.10795,1.52215,1.52713
19100,0.628363,0.735583,1.09299,0.801246,0.931185,1.18386,1.53323,1.54265
19200,0.641384,0.727549,1.15892,0.827289,0.902648,1.12457,1.57589,1.5396
19300,0.640276,0.730873,1.11432,0.821471,0.92509,1.3778,1.54819,1.56564
19400,0.644432,0.738908,1.11737,0.81593,0.928137,1.20686,1.56066,1.55234
19500,0.656345,0.746666,1.12069,0.816761,1.96848,1.22847,1.68699,1.6
19600,0.652467,0.740847,1.13094,0.841419,0.896276,1.15089,1.63657,1.56869
19700,0.65967,0.753038,1.14784,0.82535,1.10905,1.1894,1.60665,1.61939
19800,0.666596,0.760518,1.13759,0.818146,0.946977,1.63435,1.63269,1.61274
19900,0.669644,0.753592,1.15338,0.839202,0.917055,1.14673,1.65153,1.6
20000,0.674077,0.758302,1.15976,0.845852,0.978007,1.19633,1.62299,1.5975
20100,0.672138,0.772155,1.15366,0.847237,1.03868,1.26975,1.63186,1.65208
20200,0.680726,0.76606,1.17333,0.867739,0.950025,1.14535,1.64987,1.62853
20300,0.678233,0.770215,1.18386,0.847514,0.94199,1.20492,1.62272,1.64904
20400,0.679341,0.771047,1.17333,0.862475,1.02538,1.34677,1.63518,1.67259
20500,0.687376,0.808449,1.19079,0.86386,0.922319,1.19383,1.71581,1.67702
20600,0.691809,0.781298,1.19799,0.867462,1.10878,1.4889,1.67674,1.67286
20700,0.69264,0.805401,1.19605,0.869401,0.992691,1.19439,1.71221,1.70639
20800,0.702337,0.792934,1.32793,0.887964,0.947531,1.22847,1.69918,1.71414
20900,0.703722,0.795982,1.21821,0.8827,1.0168,1.25922,1.7111,1.71027
21000,0.718683,0.81593,1.21018,0.890181,1.04921,2.0613,2.50902,2.02556
21100,0.718683,0.818146,1.24343,0.91844,1.1182,1.68145,1.76374,1.71913
21200,0.716467,0.816484,1.21849,0.913176,1.04866,1.321,1.73354,1.71248
21300,0.719514,0.836155,1.23151,0.918717,1.06473,1.33984,1.7557,2.14829
21400,0.723947,0.821194,1.29053,0.915393,1.01818,1.29524,1.72467,1.74628
21500,0.740016,0.843635,1.28415,0.908189,1.05337,1.29634,1.75072,1.75737
21600,0.729488,0.834492,1.25589,0.908466,1.00848,1.32156,1.78784,1.77648
21700,0.744726,0.868847,1.27723,0.944206,1.14119,1.2703,1.77371,1.75044
21800,0.740016,0.841419,1.26254,0.915947,1.88149,1.36201,1.79089,1.75127
21900,0.740293,0.856934,1.28083,0.927306,1.0506,1.36727,1.79421,1.81638
22000,0.746943,0.849176,1.22209,0.933401,1.17527,1.3041,1.85738,1.78646
22100,0.74999,0.845852,1.27307,0.938111,1.01763,1.31408,1.84104,1.79144
22200,0.75941,0.854717,1.34095,0.94199,1.12956,1.3548,1.80973,1.80474
22300,0.753869,0.870233,1.32488,0.949471,1.4986,1.29053,1.8366,1.8125
22400,0.759687,0.890458,1.28166,0.945592,1.08606,1.33679,1.87733,1.84824
22500,0.764674,0.888795,1.33181,0.952518,1.14064,1.4526,1.86126,1.86791
22600,0.766614,0.887964,1.31103,0.960553,1.1049,1.45371,1.93302,1.87373
22700,0.777696,0.879375,1.31989,0.972189,1.16363,1.39276,1.86846,1.88343
22800,0.783237,0.887133,1.31989,0.97025,1.23207,1.33181,1.86431,1.89866
22900,0.786562,0.88741,1.31768,0.973297,1.08689,1.39664,1.93939,1.87124
23000,0.783791,0.882146,1.32627,0.989367,1.13344,1.44263,1.91196,1.93911
23100,0.79709,0.889349,1.3235,0.989644,1.0711,1.33319,1.98677,1.91363
23200,0.8018,0.926198,1.35065,1.01957,1.11432,1.41492,1.93828,1.92942
23300,0.79238,0.895999,1.36422,1.01042,1.08883,1.47006,1.90393,1.90476
23400,0.796259,0.906527,1.3573,1.00405,1.42795,1.41825,1.95657,1.97098
23500,0.798198,0.900709,1.3379,1.00488,1.18137,1.3911,1.93856,1.95906
23600,0.803462,0.926198,1.36034,1.00544,1.23872,1.41077,1.96848,1.97375
23700,0.811774,0.91096,1.38445,1.02344,1.10185,1.71221,1.96294,1.95047
